ISRC,Track_ID,Deezer_Playlist_Count,Deezer_Playlist_Reach
QM24S2402528,trk01,62,17598718
USUG12400910,trk02,67,10422430
QZJ842400387,trk03,136,36321847
USSM12209777,trk04,264,24684248
USUG12403398,trk05,82,17660624
USAT22311371,trk06,86,17167254
USWB12307016,trk07,168,48197850
QZL382406049,trk08,87,33245595
TCJPA2463708,trk09,,
USSM12404354,trk10,78,10800098
GBCEN2300147,trk100,167,15480679
QM6N22408548,trk1000,,
GBCEN2400112,trk1001,16,206878
USUM72217666,trk1002,6,22426
USXDR1700552,trk1003,18,197244
QMRSZ1501406,trk1004,105,511599
BRWNV2200185,trk1005,55,7373693
INH102309955,trk1006,1,1097
USUG11800945,trk1007,10,71637
USUG12202512,trk1008,12,1000634
INT102400983,trk1009,,
GXD7G2413058,trk101,2,39366
FR96X2351551,trk1010,,
QZJG52355895,trk1011,,
USSM11903948,trk1012,22,405827
USWB12200181,trk1013,4,96022
USUG12401032,trk1014,6,284806
USUG12101253,trk1015,6,192922
USUG12304094,trk1016,38,8664321
USUM72013593,trk1017,25,244418
USUG12101247,trk1018,11,193230
USSM11904230,trk1019,33,6401270
USAR12300323,trk102,69,1792014
USSM12306395,trk1020,18,291819
JPX402200183,trk1021,,
BC91N2200001,trk1022,28,89832
SGB502231965,trk1023,,
USAT22401034,trk1024,17,215137
USUAN1400011,trk1025,1,43207
USSM12402717,trk1026,83,6321279
GBARL1800368,trk1027,548,3408335
QZNMX2391413,trk1028,1,1924
USUM71918972,trk1029,38,202117
QMFME2364182,trk103,56,15784760
INUM72303081,trk1030,1,1097
GB28K1100036,trk1031,142,1062057
QZK6Q2278612,trk1032,1,1097
QM6N22333334,trk1033,30,766172
FR6P11501180,trk1034,1,234
NL1TK1900001,trk1035,51,343757
QZ9QQ2400324,trk1036,2,1229099
GBARL1500704,trk1037,132,734737
USSM11704799,trk1038,31,285491
USUM71708226,trk1039,30,104624
USSM12002399,trk104,5,59317
USSM22301824,trk1040,,
GBUM72203666,trk1041,59,1721803
QM4TX2030934,trk1042,35,372403
USA2P2330071,trk1043,2,18940
FR96X2111994,trk1044,9,55353
USAT22004479,trk1045,91,3010119
USUM72312321,trk1046,44,11519450
AUUM71800255,trk1047,47,238867
QZNWQ2070741,trk1048,3,1874
NOG842305010,trk1049,10,108472
GBBKS2300080,trk105,102,3034022
NLZ542200165,trk1050,73,1992797
GBARL2300716,trk1051,36,503882
JPPO02202918,trk1052,3,10100
FR2X42424385,trk1053,2,1581911
USSM12202555,trk1054,51,1215691
IND291823075,trk1055,,
USRC11903813,trk1056,35,997273
USUG12305726,trk1057,1,1
QMFME2105596,trk1058,21,301957
USUG12105524,trk1059,64,3075152
GBAHT2301078,trk106,127,33540073
USUM72313166,trk1060,3,905920
USUG12307028,trk1061,40,592661
BX3022300019,trk1062,22,7921538
INT102400827,trk1063,2,1606
AEA142213346,trk1064,,
INS172307161,trk1065,,
MXF151700546,trk1066,46,5165685
KRA492400588,trk1067,4,34481
USUM71211793,trk1068,123,1169312
USWL12200098,trk1069,32,910491
USSM12402033,trk107,41,2943724
UKXN22273282,trk1070,,
USSD12300241,trk1071,37,398533
QZTAZ2359846,trk1072,,
KRE672300203,trk1073,,
USUM72401987,trk1074,5,159005
QM6MZ2214894,trk1075,8,482273
USRC11900004,trk1076,58,635116
QMFMG2368181,trk1077,16,13007504
USRC12302740,trk1078,1,878
USSD12000471,trk1079,22,291938
KRA302400093,trk108,5,530831
THSOH2402582,trk1080,,
USWB12004394,trk1081,5,638
QM4TX2482887,trk1082,11,2671234
USUG12106458,trk1083,1,23919
USSD12300302,trk1084,42,3054645
USAT21811523,trk1085,27,129554
INS172203702,trk1086,1,1097
USAT22403454,trk1087,20,476040
ARF061500454,trk1088,1,3695
USQ4E2204040,trk1089,3,146493
USAT21906978,trk109,138,555650
FR0Z50017635,trk1090,1,180
USUG12102076,trk1091,46,2548365
