Track_ID,Apple_Music_Playlist_Count,Soundcloud_Streams,Amazon_Playlist_Count,AirPlay_Spins,SiriusXM_Spins,Shazam_Counts
trk2451,33,1336043,49,129172,34,708143
trk3451,34,,12,5406,9,1619550
trk01,210,4818457,114,40975,684,2669262
trk02,188,6623075,111,40778,3,1118279
trk03,190,7208651,172,74333,536,5285340
trk04,394,,210,1474799,2182,11822942
trk05,182,207179,105,12185,1,457017
trk06,138,9438601,152,522042,4654,4517131
trk07,280,,154,383478,429,9990302
trk08,160,,53,17221,30,6063523
trk09,,,,,,
trk10,191,3679709,92,3823,117,666302
trk11,157,1594605,114,62312,71,963413
trk12,,,2,,,
trk13,244,1313357,163,41344,45,450344
trk14,153,12038034,109,90237,3,1963314
trk15,1,,,1057,,3288
trk16,94,871978,83,92231,228,2765808
trk17,221,377734,134,129968,3,1210029
trk18,207,,150,667329,3310,6973652
trk19,76,975891,33,181,1,257661
trk20,455,,189,1777811,4909,14967379
trk21,158,,146,400899,273,7559816
trk22,298,1551157,149,37208,236,1373085
trk23,,,,,,
trk24,159,,177,309497,257,2100708
trk25,,,,,,
trk26,1,,1,,439,633525
trk27,513,36341585,128,1510151,4096,
trk28,33,,17,284,142,2064420
trk29,194,1612479,126,200230,32,1579980
trk30,,,,,,4474248
trk31,,,,,,
trk32,36,265670,26,2188,32,191867
trk33,225,6049784,188,486952,1215,6447136
trk34,163,10938075,112,378114,856,7477917
trk35,221,1516649,47,151990,64,
trk36,,,1,,,3692067
trk37,149,4482348,146,,141,1707213
trk38,215,5409388,120,605841,162,10517831
trk39,123,33130829,88,265291,4003,3945184
trk40,549,37430204,121,573733,169,44842636
trk41,247,1369981,125,3400,8,285858
trk42,2,,9,672,,
trk43,285,8007236,168,935190,2487,10973120
trk44,163,9505098,80,259255,96,8681350
trk45,91,7980051,110,36285,2676,2682219
trk46,199,9883,98,2359,2,47115
trk47,174,1991527,127,564640,405,2389957
trk48,,,,,,
trk49,78,,36,92638,822,2227494
trk50,179,,118,121234,116,19622551
trk51,65,4304870,31,6408,77,654482
trk52,,,,12,,1881
trk53,316,5820026,146,1107265,,3521951
trk54,465,78149375,115,402829,282,1146246
trk55,,,,53,,200
trk56,859,28659471,184,1695240,1116,28994660
trk57,152,,66,952186,34,6205060
trk58,,,,,,
trk59,,,,,,
trk60,203,10424892,167,718849,117,10192485
trk61,,,,,,
trk62,,,,,,
trk63,40,255951,14,709,13,63283
trk64,124,,63,77120,327,3393920
trk65,1,,,,,
trk66,138,14668216,45,191634,759,22563407
trk67,42,11703609,29,53333,,1982000
trk68,214,16992932,122,655242,5448,4873832
trk69,168,5418596,111,275119,68,4476509
trk70,2,,,29,,903
trk71,459,,95,1414326,1434,17848778
trk72,,,2,,,
trk73,110,,92,165670,180,2237762
trk74,,,,59,,1412
trk75,63,106880548,100,49780,2195,8856633
trk76,101,,81,73481,225,2283747
trk77,,,,,,
trk78,155,12405917,76,42082,36,3093667
trk79,185,1680434,59,1008,,388625
trk80,138,164895,131,149584,38,3488226
trk81,208,,102,263386,129,
trk82,258,6227,102,240677,438,17210946
trk83,1,,,13,,442
trk84,83,17115523,61,40153,227,3435177
trk85,7,1843883,,759185,1100,3199636
trk86,83,230579,48,57941,177,2635577
trk87,74,,60,102457,56,2490071
trk88,325,,100,774277,1316,7569155
trk89,150,,108,145640,920,5133847
trk90,148,16620102,60,346411,146,4207535
trk91,261,,150,1034319,1088,4703179
trk92,99,4099686,65,138254,37,6836893
trk93,67,556784,44,4716,137,659825
trk94,19,,29,23875,96,1245874
trk95,29,,26,16287,462,1380069
trk96,162,13896129,130,223173,6243,2580691
trk97,154,17702595,61,559589,513,3129609
trk98,40,,51,16952,69,1002835
trk99,80,,39,400206,14,4295361
trk100,129,25956265,100,123242,1570,
trk101,3,,,,,47658
trk102,106,670026,79,370635,5999,2219984
trk103,78,4374049,53,35330,39,2255465
trk104,15,,1,10152,,3819161
trk105,,9451176,111,195140,,9279625
trk106,162,776717,116,180711,57,2047771
trk107,99,7571301,47,3432,45,900933
trk108,37,139164,33,290,6,29736
trk109,255,168458097,28,296948,181,11988760
trk110,360,,74,245228,925,12693846
trk111,107,3634381,54,4448,,2408838
trk112,117,728039,104,673629,59,3108167
trk113,53,,17,807,,1069500
trk114,4,,1,22,,249823
trk115,351,,99,273683,,1569935
trk116,,,,658,,295
trk117,120,166254,87,158378,360,745798
trk118,,,,,,
trk119,226,2943611,71,253782,388,21306706
trk120,150,48937045,69,463665,1308,3534164
trk121,46,12785993,40,107637,57,1861958
trk122,11,,1,1754,,1195337
trk123,148,24111168,77,666615,4406,4244972
trk124,87,14942955,38,37314,361,1839283
trk125,,,,25,,
trk126,,,,,,
trk127,267,,75,523907,3418,9091826
trk128,56,62622,38,60758,959,865444
trk129,,,,29,,208
trk130,329,40756476,85,931316,1897,10228436
trk131,323,,98,351169,198,7896781
trk132,,,,,,522
trk133,408,,110,600211,381,29266297
trk134,49,,33,24103,214,623446
trk135,108,,59,412680,5869,3086624
trk136,,,,,,50550
trk137,,,10,,,5620
trk138,173,4296515,128,161513,93,4872257
trk139,11,,11,190,,42895
trk140,,,,46,,
trk141,145,8026553,54,122781,202,6121126
trk142,,,,,,
trk143,13,,8,,2,1597467
trk144,87,422718,133,86814,159,
trk145,,,,174,,1178
