ISRC,Track_ID,Spotify_Streams,Spotify_Playlist_Count,Spotify_Playlist_Reach,Spotify_Popularity
TCAGJ2289254,trk2451,227893586,28139,12480714,73
USWL11700269,trk3451,579189526,60397,11805084,65
QM24S2402528,trk01,390470936,30716,196631588,92
USUG12400910,trk02,323703884,28113,174597137,92
QZJ842400387,trk03,601309283,54331,211607669,92
USSM12209777,trk04,2031280633,269802,136569078,85
USUG12403398,trk05,107034922,7223,151469874,88
USAT22311371,trk06,670665438,105892,175421034,83
USWB12307016,trk07,900158751,73118,201585714,86
QZL382406049,trk08,675079153,40094,211236940,92
TCJPA2463708,trk09,1653018119,1,15,
USSM12404354,trk10,90676573,10400,184199419,86
USUM72404990,trk11,250080413,16219,168766158,91
USWB12402486,trk12,111155129,2,263767,
USUM72401991,trk13,221636195,13800,197280692,92
USSM12402041,trk14,355186436,43025,108168634,88
NLC242100307,trk15,297185,277,24445,12
USWL12300002,trk16,925655569,103605,79944921,79
USUG12401028,trk17,395433400,12784,177932568,89
USRC12301932,trk18,1258569694,105218,198845580,87
USUM72401996,trk19,91272461,6499,52287548,86
USSM12200612,trk20,3301814535,407119,169783402,87
USRC12300907,trk21,1065399331,170890,121712197,78
USUM72403305,trk22,547882871,24425,262343414,95
TCJPA2445163,trk23,1655575417,10,655,
USSM12401302,trk24,426700979,34044,152928632,86
RUA1H2415548,trk25,,1,2,
BXWEH2200054,trk26,7382759,3504,661084,35
USSM12103949,trk27,3107100349,451732,134793519,78
KRE671700001,trk28,720822868,60945,7530769,71
USUM72317276,trk29,591068364,26203,197494995,87
USWB12400678,trk30,1003215671,128,485454,
TCJPA2406007,trk31,1645079292,,,
KRA402400016,trk32,124893397,3479,25936342,82
USSM12305126,trk33,670376179,98450,150471020,83
USWB12305048,trk34,750154960,139141,103879363,79
USSM12401865,trk35,532012790,23557,67488850,
GBAYE2300351,trk36,479417905,7,1519,
USUYG1541249,trk37,311928522,25766,180237463,96
USWB12302315,trk38,775135157,88239,180617454,87
USAT22306575,trk39,759998727,188142,80392612,80
