ISRC,Track_ID,TikTok_Posts,TikTok_Likes,TikTok_Views
TCAGJ2289254,trk2451,77661,13324305,117505652
USWL11700269,trk3451,84450,21202350,158504854
QM24S2402528,trk01,5767700,651565900,5332281936
USUG12400910,trk02,674700,35223547,208339025
QZJ842400387,trk03,3025400,275154237,3369120610
USSM12209777,trk04,7189811,1078757968,14603725994
USUG12403398,trk05,16400,,
USAT22311371,trk06,4202367,214943489,2938686633
USWB12307016,trk07,,29584940,534915313
QZL382406049,trk08,3500000,338546668,3804584163
TCJPA2463708,trk09,,,
USSM12404354,trk10,325800,121574500,974656200
USUM72404990,trk11,,184500,2100000
USWB12402486,trk12,,,
USUM72401991,trk13,195300,45889000,360017000
USSM12402041,trk14,,,
NLC242100307,trk15,3,1088,22234
USWL12300002,trk16,11054500,521725116,7499234052
USUG12401028,trk17,139300,25348800,207317000
USRC12301932,trk18,2294429,419319161,5456156211
USUM72401996,trk19,941900,119740900,1225345800
USSM12200612,trk20,2755903,1633970617,15405881843
USRC12300907,trk21,3091732,652428798,7095564106
USUM72403305,trk22,209200,169144295,1379499000
TCJPA2445163,trk23,,,
USSM12401302,trk24,1470500,485200392,6518604175
RUA1H2415548,trk25,9453333,273236305,4306269694
BXWEH2200054,trk26,37621885,1636811753,22918660728
USSM12103949,trk27,7485966,2246991336,23712377029
KRE671700001,trk28,7743800,281762094,6577639193
USUM72317276,trk29,,,
USWB12400678,trk30,,,
TCJPA2406007,trk31,,,
KRA402400016,trk32,212500,48327004,390081328
USSM12305126,trk33,2114363,369150956,3932956380
USWB12305048,trk34,1031447,196985853,2231749390
USSM12401865,trk35,,,
GBAYE2300351,trk36,,,
USUYG1541249,trk37,,27811667,378313942
USWB12302315,trk38,396560,49060857,597513595
USAT22306575,trk39,1237229,311252391,3281790327
QZES71982312,trk40,10342366,393814740,5861939942
USUM72401994,trk41,251200,71078500,443104700
KRA252300672,trk42,14348249,948225544,12196985599
UKWLG2200055,trk43,728093,54258768,1051836430
QZXDB2300005,trk44,2557115,285329503,2578518632
USJ5G2335007,trk45,3648759,857220853,5469808282
USUM72404101,trk46,,188200,1200000
GBAHT2301246,trk47,93500,35970610,386610043
TCJPA2415647,trk48,,,
GBUM72300969,trk49,13872768,390207653,5684815935
USUM71607007,trk50,799338,78304409,1143297071
USUG12402839,trk51,,,
GX3Q92333626,trk52,190,36666,393580
NGA3B2214021,trk53,599,48035,2857920
GBAHS1600463,trk54,2270315,194420058,2320856331
EEUM72300001,trk55,,,
USUG11904206,trk56,2882064,337322563,3501177394
USUG12208791,trk57,423714,148085419,1268862678
QZNJW2423715,trk58,,,
TCJPA2420090,trk59,,,
GBUM72205415,trk60,2379787,683088623,7945975878
ROCMA2413380,trk61,,,
RUA1H2406425,trk62,5013500,605320683,8811416708
KRA302400090,trk63,56600,61038623,393973528
QM6MZ2214877,trk64,4506600,549886060,6470937272
USCM52400059,trk65,,,
NGA3B2214004,trk66,6129450,856216952,18216656774
QZ7XS2400012,trk67,,,
USRC12204584,trk68,266430,152410048,1284413960
USUM72307484,trk69,1443103,498822693,3998086216
QZA742305720,trk70,,,
GBUM72000433,trk71,1416295,513334446,5518429969
USWB11201322,trk72,,,
UYB282301031,trk73,4210895,797017650,11936401096
UKACT2330463,trk74,,,
USSM11901941,trk75,5757883,187301054,1981431049
QM6N22311285,trk76,796603,127651887,1669065906
NZAM02001128,trk77,42900000,919945708,12221514692
GBUM72305159,trk78,731797,130560533,1254944697
USUM72401988,trk79,284,,
USUM72222541,trk80,457111,15048444,248168852
GBAHS1700024,trk81,6642975,601244764,7647479866
USSD12100307,trk82,2866181,290811371,4067248819
GBLTF2300027,trk83,,,
USE7D2300007,trk84,5416,550073,15373104
USAT22305457,trk85,175536,90924917,1227837850
MXF152300159,trk86,1031612,116003972,2416141351
USSM12309164,trk87,87200,6732800,43993800
USSM12105970,trk88,1912194,733101955,7860224413
QM6MZ2214878,trk89,1769068,475656543,5249863696
USQX92302957,trk90,928132,63253779,748253884
USUG12205736,trk91,1302967,376660493,3864505972
UYB282201028,trk92,1212100,196608777,2054826154
USA2P2413259,trk93,,57656713,506476590
USSD12300307,trk94,4349700,321239621,4767676439
USA2P2357356,trk95,,414833,10603563
GBAYE2300015,trk96,3502547,955272568,8781020473
USRC12204591,trk97,402338,97819766,887803828
QMFMF2388143,trk98,720800,74164945,874056250
USRC12301954,trk99,328562,88846508,544437406
GBCEN2300147,trk100,283600,96934486,1090501901
GXD7G2413058,trk101,1100000,261000,3900000
USAR12300323,trk102,2553106,312997953,3832221658
QMFME2364182,trk103,1700998,182319546,2111289492
USSM12002399,trk104,37726462,9239474,147837262
GBBKS2300080,trk105,530103,65920648,1032799567
GBAHT2301078,trk106,102884,34572688,431390500
USSM12402033,trk107,,,
KRA302400093,trk108,,,
USAT21906978,trk109,4930490,561201008,4574447121
USSM12104539,trk110,1750366,915814897,9558947943
DEE862400427,trk111,,,
US6XF2200436,trk112,354036,74258021,924204888
JPU902305042,trk113,,22950364,296522040
SGB502208576,trk114,20114495,2452502310,33870791454
USUM71814888,trk115,2714134,178829434,1597453878
GBKPL2205333,trk116,33,188,6415
USRC12400216,trk117,,,
BXT622400190,trk118,,,
USUM71700626,trk119,5745117,453132709,5876458723
USSM12203789,trk120,931660,95662104,836550889
USSM12305012,trk121,322900,108595670,947194801
QMDA72363047,trk122,1900606,68341852,872862858
USAT22203024,trk123,1610614,624748318,6890780336
USSM12305010,trk124,22100,13787343,107398826
USUG12301493,trk125,,,
CA5KR2465999,trk126,,,
USUM72206227,trk127,247865,155593087,1825552705
USUG12305253,trk128,1223804,46080266,782582119
US2642250302,trk129,9,422,4484
USQX92003025,trk130,2467227,160756733,1768836179
QM7282022872,trk131,3098499,662794945,5063720138
GXBAV2381801,trk132,4200000,3646489,73318253
DEUM71807062,trk133,1940473,212007614,2161032034
USQX92302824,trk134,4897595,104580759,1551501289
USSM12204574,trk135,4687520,1252326407,15247253457
QZMEQ2306756,trk136,7702832,90289248,1272592848
INS182401602,trk137,,,
USUG12304091,trk138,394640,152624014,1448207880
BCAEW2400001,trk139,1600000,853176,8850449
UKQNV2100272,trk140,111,102828,735317
QZTB52268087,trk141,3168854,243797561,3233505931
ATR981312465,trk142,3528100,37591836,688302023
TCAIA2495220,trk143,1300000,182937084,1542242100
UKWLG2400013,trk144,299000,4419373,79796400
CLLU22300585,trk145,,,
QZDYA1800087,trk146,1614275,209367923,2596777974
FRX282306294,trk147,8800000,256186613,3985974550
USUM72102636,trk148,1404274,502778982,4702037810
GBAHT1901121,trk149,4725570,414013363,3535661993
USUG11800685,trk150,1900813,44442433,338071383
USUM72205906,trk151,1300337,251445963,2829294043
USAT22005111,trk152,8470921,1183499351,9539547626
USA2P2421932,trk153,99900,46645177,366905484
USUG12402984,trk154,,,
CA5KR2466577,trk155,,,
USA2P2330093,trk156,341522,114990786,761760624
USUG12300802,trk157,285414,61112010,811685466
IEACJ2300335,trk158,,,
GBAHS2100318,trk159,1036355,225139300,2658904267
USUG12305257,trk160,1167300,58820722,717259721
USAT22100906,trk161,1503567,369280607,3350704343
JPKI02118106,trk162,18000000,334009036,7041708832
USUG12101245,trk163,1893481,1080682523,8186754429
USUM71900764,trk164,3774645,177247662,1409756969
USUM71911283,trk165,5815851,140938643,1859977153
USSM12207207,trk166,2409247,476447290,6208638113
USUM72007941,trk167,5241838,364560431,3869815694
GBAHS2201304,trk168,1102985,38959591,830123390
USWB12304903,trk169,215433,70110809,586454750
USUM71915699,trk170,83111,26892604,273522601
DGA062382895,trk171,136500,32754141,509287649
USAT22202139,trk172,3030761,1522267606,15665483220
USQX91601347,trk173,1103074,100536756,514053404
KRA402300002,trk174,3411209,550993898,6724997940
QMFME2364199,trk175,213300,49332435,487440417
USUG12306085,trk176,77600,20713030,128182068
USSM11706905,trk177,1314091,53911465,546650805
USUM72318216,trk178,14519,5128004,29601244
USUM72208023,trk179,172228,118133115,1359837461
USUM72201759,trk180,341199,191133207,2255843288
USSD12300400,trk181,,,
USRC12400001,trk182,,,
GBKPL2204171,trk183,461623,313934124,2305840359
GBAHT2000942,trk184,858364,324510578,2649555956
QZSYP2454435,trk185,361700,71058620,476545000
USWD12328242,trk186,4304279,50776319,709276580
USUG12306072,trk187,1225,2163852,22689637
QM6MZ2214888,trk188,179400,14518451,225142753
USSM11914962,trk189,584648,77631196,964755757
QMDA62217995,trk190,935169,362063344,3209982240
GBARL2400510,trk191,,279000,4700000
USUG12204897,trk192,803500,85725313,926300276
USUM72013339,trk193,5487112,345484397,2775640343
USUM71913350,trk194,2377898,155233360,1458416059
USUM72304895,trk195,459540,102272836,1113541743
USRC12302637,trk196,,,
USRC12400299,trk197,67400,22398663,298300000
DEA622301801,trk198,13334,1804060,35999853
USUM72400048,trk199,77900,5912130,10072539
USUM71813499,trk200,3897257,208270183,2216715741
USUG12400909,trk201,,1542400,7700000
USUG12306071,trk202,859,267545,2571188
USUM71813192,trk203,52698,11103476,168789459
USUM71704167,trk204,1839173,79131934,906537912
NGA3B2216004,trk205,3035139,98505939,1454848289
USAT22103652,trk206,2167302,1127247971,12414681151
USUYG1425645,trk207,10289181,119876546,1872751535
USRC12201440,trk208,902163,360938850,2783442788
KRA402100099,trk209,3707867,1292738947,12516703531
BK4DA2310533,trk210,372100,71411756,752868970
QM7282306246,trk211,777100,112400175,1207597707
USRC12101532,trk212,2148350,795146493,5944657895
USSM12206232,trk213,2762888,945005125,11215597325
KRA402400030,trk214,,,
KRA402000111,trk215,10007464,628046798,7988463856
QZMEP2285895,trk216,1865,1476436,7758599
USLD91757578,trk217,535464,171691158,1051026401
USUG12208783,trk218,32432,14181961,108461504
USUM71601094,trk219,3823774,33020704,283835852
USUG12402283,trk220,,,
SEUM72201638,trk221,236349,68936229,718955243
USRC12100543,trk222,2074944,1053759171,8035914098
USUG12301757,trk223,3308739,92626234,847338969
QZNN22329474,trk224,2200000,35324159,391444977
GBAHT2400114,trk225,3584,4057,38200
USUG12004749,trk226,1365848,617386471,3781894216
USSM12306461,trk227,67350,33519594,503074793
KSA012239181,trk228,2107181,407118298,4388576830
USA2P2414843,trk229,,,
USUM72222387,trk230,1456347,477814190,4784803362
USUM71710087,trk231,196242,40652322,456931528
QZDA72340256,trk232,,,
US2BU1900125,trk233,1190870,26028684,319615777
QZMEM2209263,trk234,2321933,467461517,3656967030
USUM72301797,trk235,249537,11127302,117325107
US3DF2417042,trk236,142300,14500,147200
ES31E2401197,trk237,,,
USSM12100531,trk238,2297386,864049980,7655286423
QZ5FN2369288,trk239,,,
USUG12306691,trk240,80218,12641848,113073762
TCAGM2208561,trk241,2900087,216927444,2653383273
USWB12201789,trk242,865354,1031153514,8988453878
USSM11912587,trk243,1375118,301076974,2738127473
USA2P2414894,trk244,,,
CH7811111177,trk245,,64504808,928812348
QM6P42334528,trk246,308670,85402638,808518802
QMFMF2215173,trk247,632917,43022167,631781362
