Track_ID,Track,Album_Name,Artist,Release_Date,ISRC,Explicit_Track
trk01,MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,0
trk02,Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,1
trk03,i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,0
trk04,Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,0
trk05,Houdini,Houdini,Eminem,5/31/2024,USUG12403398,1
trk06,Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,1
trk07,Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,0
trk08,Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,1
trk09,Danza Kuduro - Cover, -  -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,1
trk10,BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,1
trk100,Prada,Prada,cassï¿,8/11/2023,GBCEN2300147,1
trk1000,El Caballito,El Caballito - Single,FARIANA,6/7/2024,QM6N22408548,1
trk1001,PICK UP THE PHONE (feat. Nate Dogg),PICK UP THE PHONE (feat. Nate Dogg),PAWSA,5/31/2024,GBCEN2400112,1
trk1002,Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),GloRilla,9/23/2022,USUM72217666,1
trk1003,Se Preparï¿,Se Preparï¿,Ozuna,8/10/2017,USXDR1700552,0
trk1004,Lost on You,Lost On You,LP,3/24/2016,QMRSZ1501406,0
trk1005,Leï¿½,Leï¿½ï¿½o - Si,Marï¿½ï¿½lia Mendo,12/8/2022,BRWNV2200185,0
trk1006,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,7/12/2023,INH102309955,0
trk1007,Lean Wit Me,Lean Wit Me,Juice WRLD,5/22/2018,USUG11800945,1
trk1008,HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc and Phew),Quavo,5/20/2022,USUG12202512,1
trk1009,"Choli Ke Peeche (From ""Crew"")","Choli Ke Peeche (From ""Crew"") - Single",Diljit Dosanjh,3/20/2024,INT102400983,0
trk101,Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,GXD7G2413058,0
trk1010,April Rain in August Weather,April Rain in August Weather - Single,Baba Blakes,3/24/2023,FR96X2351551,0
trk1011,LEATHER,LEATHER,MAKAELA,1/27/2023,QZJG52355895,1
trk1012,Panini,Panini,Lil Nas X,6/20/2019,USSM11903948,0
trk1013,She Had Me At Heads Carolina,Stereotype,Cole Swindell,4/8/2022,USWB12200181,0
trk1014,"So Long, London",THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401032,0
trk1015,good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,USUG12101253,0
trk1016,bad idea right?,bad idea right?,Olivia Rodrigo,8/11/2023,USUG12304094,1
trk1017,"Ay, DiOs Mï¿½ï","Ay, DiOs Mï¿½ï",KAROL G,7/10/2020,USUM72013593,0
trk1018,happier,SOUR,Olivia Rodrigo,5/21/2021,USUG12101247,1
trk1019,Lalala,Lalala,Y2K,6/28/2019,USSM11904230,1
trk102,Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,0
trk1020,ONE MORE TIME,ONE MORE TIME / MORE THAN YOU KNOW,blink-182,9/21/2023,USSM12306395,0
trk1021,unknown track,unknown album,HoneyWorks,11/21/2022,JPX402200183,0
trk1022,Tubarï¿½ï¿½o Te,Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,9/28/2022,BC91N2200001,1
trk1023,Chichiquetere,Chichiquetere,HCTM,8/6/2022,SGB502231965,0
trk1024,After Hours,After Hours,Kehlani,4/4/2024,USAT22401034,1
trk1025,Monkeys Spinning Monkeys,SteamFun - Single,Kevin MacLeod,5/16/2011,USUAN1400011,0
trk1026,II MOST WANTED,COWBOY CARTER,Beyoncï¿,3/27/2024,USSM12402717,0
trk1027,One Kiss (with Dua Lipa),Dua Lipa (Complete Edition),Calvin Harris,1/1/2015,GBARL1800368,0
trk1028,Mmhmm,Mmhmm,BigXthaPlug,10/6/2023,QZNMX2391413,1
trk1029,BOP,KIRK,DaBaby,9/27/2019,USUM71918972,1
trk103,MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364182,1
trk1030,Husn,Husn,Anuv Jain,12/1/2023,INUM72303081,0
trk1031,Titanium (feat. Sia),Nothing But The Beat,Sia,1/1/2011,GB28K1100036,0
trk1032,Kahani Suno 2.0,Kahani Suno 2.0,Kaifi Khalil,5/31/2022,QZK6Q2278612,0
trk1033,No_se_ve.mp3,No_se_ve.mp3 - Single,Emilia,5/3/2023,QM6N22333334,1
trk1034,Lean On (feat. Mï¿½ï¿½ & DJ Snake) - J Balvin & Farruko R,Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re,Major Lazer,9/4/2015,FR6P11501180,0
