Track_ID,All_Time_Rank,Track_Score
trk01,1,725.4
trk02,2,545.9
trk03,3,538.4
trk04,4,444.9
trk05,5,423.3
trk06,6,410.1
trk07,7,407.2
trk08,8,375.8
trk09,9,355.7
trk10,10,330.6
trk11,11,322.1
trk12,12,320.2
trk13,13,316.3
trk14,14,308.2
trk15,15,301.6
trk16,16,299.9
trk17,17,297.6
trk18,18,293.7
trk19,19,292.6
trk20,20,292
trk21,21,290.5
trk22,22,281.5
trk23,23,279
trk24,24,278.9
trk25,25,277.5
trk26,26,268.1
trk27,27,266.3
trk28,28,265.7
trk29,29,262.8
trk30,30,256
trk31,31,249.8
trk32,32,237.5
trk33,33,234.6
trk34,34,233.5
trk35,35,231.6
trk36,36,230
trk37,37,226.4
trk38,38,224.1
trk39,39,221.1
trk40,40,214.5
trk41,41,212.8
trk42,42,211.2
trk43,43,209.6
trk44,44,207
trk45,45,206.2
trk46,46,205.7
trk47,47,205.1
trk48,48,204.4
trk49,49,203.6
trk50,50,203.5
trk51,51,202.1
trk52,52,200.3
trk53,53,198
trk54,54,195.1
trk55,55,194.3
trk56,56,194
trk57,57,192.3
trk58,58,190
trk59,59,190
trk60,60,189.1
trk61,61,187.9
trk62,62,186.5
trk63,63,186.1
trk64,64,184.8
trk65,65,181.4
trk66,66,180.1
trk67,67,179.6
trk68,68,177.7
trk69,69,177.6
trk70,70,176.2
trk71,71,175
trk72,72,174.8
trk73,73,174.3
trk74,74,173.6
trk75,75,170.3
trk76,76,170.2
trk77,77,168.9
trk78,78,168.1
trk79,79,167.8
trk80,80,167.8
trk81,81,167.5
trk82,82,167.3
trk83,83,167.2
trk84,84,166.5
trk85,85,166.2
trk86,86,164.9
trk87,87,164.8
trk88,88,163.2
trk89,89,163.1
trk90,90,162
trk91,91,161.8
trk92,92,161.7
trk93,93,161
trk94,94,158.2
trk95,95,155.9
trk96,96,153.6
trk97,97,153.3
trk98,98,153.1
trk99,99,152.8
trk100,100,152.5
trk101,101,152.3
trk102,102,152.1
trk103,103,150.7
trk104,104,150.5
trk105,105,150.4
trk106,106,148.9
trk107,107,148.1
trk108,108,147.4
trk109,109,146.6
trk110,110,145.3
trk111,111,144.6
trk112,112,144.5
trk113,113,144
trk114,114,144
trk115,116,143.9
trk116,115,143.9
trk117,117,142.8
trk118,118,142.4
trk119,119,142.2
trk120,120,141
trk121,121,139.5
trk122,122,139
trk123,123,138.6
trk124,124,137.8
trk125,125,137.7
trk126,126,136.4
trk127,127,136.2
trk128,128,136.2
trk129,129,134
trk130,130,133
trk131,131,132.3
trk132,132,130.7
trk133,133,129.7
trk134,134,129.6
trk135,135,129.5
trk136,136,129.4
trk137,137,129.1
trk138,138,128.9
trk139,139,128.5
trk140,140,128
trk141,141,127.8
trk142,142,127.4
trk143,143,127.3
trk144,144,126.9
trk145,145,126.6
trk146,146,126.2
trk147,147,125.4
trk148,148,125.2
trk149,149,124.6
trk150,150,123.9
trk151,151,123.8
trk152,152,123.4
trk153,153,122.8
trk154,154,122.7
trk155,155,122.5
trk156,156,122.4
trk157,157,121.9
trk158,158,121.2
trk159,159,120.8
trk160,160,120.7
trk161,161,120.1
trk162,162,119.5
trk163,163,117.8
trk164,164,117.7
trk165,165,117.6
trk166,166,116.9
trk167,167,116.7
trk168,168,116.6
trk169,169,116.5
trk170,170,116
trk171,171,115.9
trk172,172,115.6
trk173,173,114.6
trk174,174,114.3
trk175,175,114.2
trk176,176,113.2
trk177,177,112.8
trk178,178,112.6
trk179,179,112.5
trk180,180,112
trk181,182,111.8
trk182,181,111.8
trk183,183,111.4
trk184,184,111.3
trk185,185,111.1
trk186,186,110.9
trk187,187,110.8
trk188,188,110.7
trk189,189,110.2
trk190,190,110.1
trk191,191,109.8
trk192,192,109.7
trk193,193,109.5
trk194,194,109.3
trk195,195,109.1
trk196,196,109
trk197,197,108.4
trk198,198,107.8
trk199,199,107.5
trk200,200,107.4
trk201,201,107.3
trk202,202,107.1
trk203,204,106.9
trk204,203,106.9
trk205,205,106.4
trk206,206,106.2
trk207,208,105.8
trk208,207,105.8
trk209,210,105.5
trk210,209,105.5
trk211,212,105.2
trk212,211,105.2
trk213,213,104.9
trk214,214,104.5
trk215,215,104.5
trk216,216,104.5
trk217,217,104.4
trk218,218,104.4
trk219,219,104.2
trk220,220,103.9
trk221,221,103.9
trk222,222,103.4
trk223,223,103.3
trk224,224,103.1
trk225,225,103.1
trk226,226,102.9
trk227,227,102.4
trk228,229,102.3
