ISRC,Track_ID,YouTube_Views,YouTube_Likes,YouTube_Playlist_Reach
TCAGJ2289254,trk2451,30913276,159791,238206228
USWL11700269,trk3451,828853696,3086157,199705679
QM24S2402528,trk01,84274754,1713126,150597040
USUG12400910,trk02,116347040,3486739,156380351
QZJ842400387,trk03,122599116,2228730,373784955
USSM12209777,trk04,1096100899,10629796,3351188582
USUG12403398,trk05,77373957,3670188,112763851
USAT22311371,trk06,131148091,1392593,2867222632
USWB12307016,trk07,308723145,4120760,4601579812
QZL382406049,trk08,228382568,1439495,2112581620
TCJPA2463708,trk09,,,
USSM12404354,trk10,32735244,988682,174706874
USUM72404990,trk11,32229063,550191,327130768
USWB12402486,trk12,,,
USUM72401991,trk13,40022524,1307290,342107131
USSM12402041,trk14,98081493,1456177,174491415
NLC242100307,trk15,6736502312,16785489,
USWL12300002,trk16,934302031,4294166,2042145659
USUG12401028,trk17,104673836,2484083,268893710
USRC12301932,trk18,141646818,1514837,2667285437
USUM72401996,trk19,16038053,569377,5839168
USSM12200612,trk20,800899315,9101589,7289707052
USRC12300907,trk21,240970670,2749668,1063591802
USUM72403305,trk22,107550212,1825761,422646034
TCJPA2445163,trk23,,,
USSM12401302,trk24,35724356,437980,1213175656
RUA1H2415548,trk25,,,
BXWEH2200054,trk26,4233958,69990,
USSM12103949,trk27,1256973582,14661425,4327058646
KRE671700001,trk28,16322756555,48757673,2166611
USUM72317276,trk29,156882014,3080503,578568464
USWB12400678,trk30,,,
TCJPA2406007,trk31,,,
KRA402400016,trk32,359896095,4907193,38798822
USSM12305126,trk33,265180930,2566846,3031114430
USWB12305048,trk34,118208096,1495758,1745168821
USSM12401865,trk35,62123098,923733,384716227
GBAYE2300351,trk36,,,
USUYG1541249,trk37,62694868,837616,243895569
USWB12302315,trk38,139180960,1504385,4016801205
USAT22306575,trk39,94699547,1222012,140623676
QZES71982312,trk40,3366447481,27240268,2428166573
USUM72401994,trk41,11033725,251373,148058631
KRA252300672,trk42,22280037,334523,
UKWLG2200055,trk43,466080689,4324989,1425853925
QZXDB2300005,trk44,274070101,3701289,1205538057
USJ5G2335007,trk45,48093111,959175,298259422
USUM72404101,trk46,22374807,1026097,110446147
GBAHT2301246,trk47,150571504,1575378,3129834452
TCJPA2415647,trk48,,,
GBUM72300969,trk49,61986821,921044,19218089
USUM71607007,trk50,9537135721,61799279,569548901
USUG12402839,trk51,53604746,1846535,174375427
GX3Q92333626,trk52,2457026781,,
NGA3B2214021,trk53,902742581,8099187,750030685
GBAHS1600463,trk54,8013997219,45770887,2294804623
EEUM72300001,trk55,2432265978,8162101,
USUG11904206,trk56,833807130,10093211,2258085924
USUG12208791,trk57,193982443,2023998,444033037
QZNJW2423715,trk58,52480069,82092,
TCJPA2420090,trk59,,,
GBUM72205415,trk60,254051906,3364206,1524133775
ROCMA2413380,trk61,,,
RUA1H2406425,trk62,222076,5430,
KRA302400090,trk63,111310770,1724693,32059104
QM6MZ2214877,trk64,1516863120,8870768,934894575
USCM52400059,trk65,,,
NGA3B2214004,trk66,1141904909,8766235,2952879912
QZ7XS2400012,trk67,27688666,449112,33817299
USRC12204584,trk68,220538045,3153793,426461749
USUM72307484,trk69,144741616,2761964,1384310160
QZA742305720,trk70,2038459981,6076902,
GBUM72000433,trk71,1272898075,14947520,4899313022
USWB11201322,trk72,,,
UYB282301031,trk73,776436101,12951756,457987382
UKACT2330463,trk74,1999374091,5708577,
USSM11901941,trk75,3203314695,41487213,939714925
QM6N22311285,trk76,878892413,4425283,1522934425
NZAM02001128,trk77,12489728,339414,
GBUM72305159,trk78,219666692,2332307,918145630
USUM72401988,trk79,19402457,997411,260377114
USUM72222541,trk80,1102289596,8953293,1174053183
GBAHS1700024,trk81,6473698897,39632673,1708317539
USSD12100307,trk82,1431591689,11553088,782475986
GBLTF2300027,trk83,2055940513,4150967,
USE7D2300007,trk84,701880622,3831236,546259059
USAT22305457,trk85,173044031,1640319,1205266954
MXF152300159,trk86,920878032,3118229,1690231413
USSM12309164,trk87,105148629,1762297,977638660
USSM12105970,trk88,1194846205,13561925,6353555150
QM6MZ2214878,trk89,1366181141,9358441,488048337
USQX92302957,trk90,203487345,2084532,735908540
USUG12205736,trk91,203259285,3482508,724976542
UYB282201028,trk92,1132539234,8795731,56677146
USA2P2413259,trk93,202206901,2596912,273521596
USSD12300307,trk94,347506860,1553295,2676837761
USA2P2357356,trk95,433839212,2750086,1795939912
GBAYE2300015,trk96,211810152,2461166,806434641
USRC12204591,trk97,390677417,2521214,560893301
QMFMF2388143,trk98,369321334,1839225,4123457278
USRC12301954,trk99,48045203,986278,1561456615
GBCEN2300147,trk100,47611547,418343,113545664
GXD7G2413058,trk101,1278618,27849,
USAR12300323,trk102,22907992,261664,15593731
QMFME2364182,trk103,113379734,1312763,90954700
USSM12002399,trk104,9977490,201210,
GBBKS2300080,trk105,8183226,98257,56004473
GBAHT2301078,trk106,66691067,961957,2120552147
USSM12402033,trk107,39453253,672789,232440923
KRA302400093,trk108,57861795,1257935,29510774
USAT21906978,trk109,441257231,4829633,2077511
USSM12104539,trk110,1003346208,16856186,3191316960
DEE862400427,trk111,35008949,717214,39149568
US6XF2200436,trk112,107703759,768813,103658014
JPU902305042,trk113,389540239,4392933,1041035733
SGB502208576,trk114,3120073,56276,
USUM71814888,trk115,2763188773,19410390,484189798
GBKPL2205333,trk116,2435813922,7208467,26630093
USRC12400216,trk117,38173339,349660,196380893
BXT622400190,trk118,39323383,44223,
USUM71700626,trk119,4495059988,42240881,276194776
USSM12203789,trk120,357772653,2590835,3934416606
USSM12305012,trk121,97958347,1237197,259363238
QMDA72363047,trk122,406307035,809942,1969191415
USAT22203024,trk123,231229581,2756840,3849170813
USSM12305010,trk124,125203447,1990342,244390161
USUG12301493,trk125,1577017938,9304666,2651764724
CA5KR2465999,trk126,,,
USUM72206227,trk127,409785349,3326477,2563240162
USUG12305253,trk128,509727241,2202866,1337889706
US2642250302,trk129,2156140830,,1318392
USQX92003025,trk130,747126783,10795292,2069527154
QM7282022872,trk131,2638957320,62311179,2199001119
GXBAV2381801,trk132,,,
DEUM71807062,trk133,2153701892,20891433,2333853734
USQX92302824,trk134,363082908,5135848,150614267
USSM12204574,trk135,221078988,2557839,718932832
QZMEQ2306756,trk136,1022331,22739,
INS182401602,trk137,54330074,801621,
USUG12304091,trk138,113450524,2108657,1111017294
BCAEW2400001,trk139,63418833,427441,149589609
UKQNV2100272,trk140,2123978358,5670850,
QZTB52268087,trk141,305998382,2647341,704906130
ATR981312465,trk142,,,
TCAIA2495220,trk143,944314,17943,
UKWLG2400013,trk144,9134225,124326,3117914
CLLU22300585,trk145,1538564650,2066653,
QZDYA1800087,trk146,798827877,3379928,420585933
FRX282306294,trk147,48533758,399664,6879573
USUM72102636,trk148,1019256266,10280320,2889452237
GBAHT1901121,trk149,1201600884,10239198,2374637534
USUG11800685,trk150,987143411,9384427,274498079
USUM72205906,trk151,1229843060,5870729,763687717
USAT22005111,trk152,1329826741,15965491,181452145
USA2P2421932,trk153,100148771,2531168,24981456
USUG12402984,trk154,41492122,1034563,166330702
CA5KR2466577,trk155,,,
USA2P2330093,trk156,397523735,10125293,1800517153
USUG12300802,trk157,141852059,567295,182412108
IEACJ2300335,trk158,13119247,218957,
GBAHS2100318,trk159,958790883,7686994,3526952174
USUG12305257,trk160,258553384,1174349,590681204
USAT22100906,trk161,993324548,9537455,2421128623
JPKI02118106,trk162,1356336,17701,
USUG12101245,trk163,773591065,11098007,2285796743
USUM71900764,trk164,1779243626,26239833,2066888119
USUM71911283,trk165,2372399124,26919886,2305437038
USSM12207207,trk166,621874255,2859234,672233681
USUM72007941,trk167,1170441361,13667470,201859518
GBAHS2201304,trk168,131308671,1074684,961201576
USWB12304903,trk169,50938569,246731,207483261
USUM71915699,trk170,1116323669,8490012,841624305
DGA062382895,trk171,577930708,1569516,1484713132
USAT22202139,trk172,106024874,1080393,22274346
USQX91601347,trk173,4086121880,22091228,467800052
KRA402300002,trk174,525156884,10820829,68869541
QMFME2364199,trk175,183381482,738123,546833520
USUG12306085,trk176,86580734,1106306,384403788
USSM11706905,trk177,3952909529,32333846,2137655536
USUM72318216,trk178,166363445,1019744,476273095
USUM72208023,trk179,299001099,2751490,3624466116
USUM72201759,trk180,584854654,6691488,3064084870
USSD12300400,trk181,475200526,1369288,1602673476
USRC12400001,trk182,42581931,513055,1607922581
GBKPL2204171,trk183,293553015,5388022,2451087344
GBAHT2000942,trk184,1665434424,15432964,4124133645
QZSYP2454435,trk185,37676729,525264,126493852
USWD12328242,trk186,7863539,84565,300010
USUG12306072,trk187,39850191,427973,11148894
QM6MZ2214888,trk188,945857087,5587691,171156518
USSM11914962,trk189,2430804498,12334565,430690809
QMDA62217995,trk190,175393116,1729347,841611064
GBARL2400510,trk191,10331471,167936,38232470
USUG12204897,trk192,198796965,2003253,327806846
USUM72013339,trk193,306628096,3322075,258709304
USUM71913350,trk194,1290292327,11720744,2403585054
USUM72304895,trk195,477047694,1887642,1850185458
USRC12302637,trk196,45439562,522558,1880782257
USRC12400299,trk197,19787472,254004,320540886
DEA622301801,trk198,37192341,491577,3117914
USUM72400048,trk199,115105080,2893111,2382932899
USUM71813499,trk200,2018089906,20528541,2352917415
USUG12400909,trk201,36834647,1700363,127419599
USUG12306071,trk202,61769035,1228629,1488182707
USUM71813192,trk203,2732311956,15274815,2310840501
USUM71704167,trk204,2707166590,16780231,222980374
NGA3B2216004,trk205,361174452,1904397,269311214
USAT22103652,trk206,499895662,6801671,3366280433
USUYG1425645,trk207,266679537,1536035,29657775
USRC12201440,trk208,147472695,2050299,2111662944
KRA402100099,trk209,1323718887,20328622,1203702704
BK4DA2310533,trk210,266411536,1343262,535715103
QM7282306246,trk211,362779953,1617493,297822969
USRC12101532,trk212,641326002,7454749,3148985028
USSM12206232,trk213,176996169,1606296,251341543
KRA402400030,trk214,44927750,931230,
